<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
Si;5;20260129;171500;76553;76578;76445;76538;12778
Si;5;20260129;172000;76535;76550;76370;76386;8321
Si;5;20260129;172500;76382;76473;76205;76220;16193
Si;5;20260129;173000;76219;76404;76152;76369;19445
Si;5;20260129;173500;76369;76529;76350;76459;11678
Si;5;20260129;174000;76459;76550;76449;76449;7081
Si;5;20260129;174500;76450;76453;76362;76375;6756
Si;5;20260129;175000;76375;76422;76289;76300;5075
Si;5;20260129;175500;76299;76366;76256;76312;5940
Si;5;20260129;180000;76316;76419;76310;76342;8936
Si;5;20260129;180500;76345;76374;76235;76244;10749
Si;5;20260129;181000;76244;76350;76227;76330;8000
Si;5;20260129;181500;76332;76374;76303;76313;12816
Si;5;20260129;182000;76310;76478;76301;76462;13166
Si;5;20260129;182500;76458;76508;76406;76407;11989
Si;5;20260129;183000;76407;76498;76369;76384;17200
Si;5;20260129;183500;76379;76450;76346;76370;12668
Si;5;20260129;184000;76370;76460;76352;76419;7466
Si;5;20260129;184500;76417;76429;76329;76417;8254
Si;5;20260129;190500;76429;76560;76389;76481;10772
Si;5;20260129;191000;76484;76490;76400;76465;5216
Si;5;20260129;191500;76462;76480;76436;76478;1752
Si;5;20260129;192000;76475;76495;76463;76474;1491
Si;5;20260129;192500;76473;76479;76442;76469;2109
Si;5;20260129;193000;76466;76484;76420;76430;2198
Si;5;20260129;193500;76430;76440;76378;76412;1998
Si;5;20260129;194000;76419;76450;76403;76447;1430
Si;5;20260129;194500;76449;76468;76405;76414;564
Si;5;20260129;195000;76411;76439;76406;76411;971
Si;5;20260129;195500;76421;76424;76400;76400;806
Si;5;20260129;200000;76400;76407;76356;76364;1959
Si;5;20260129;200500;76367;76369;76347;76356;1796
Si;5;20260129;201000;76356;76388;76352;76375;1480
Si;5;20260129;201500;76374;76425;76350;76406;1760
Si;5;20260129;202000;76410;76450;76395;76450;1468
Si;5;20260129;202500;76450;76471;76444;76469;575
Si;5;20260129;203000;76470;76499;76456;76476;1770
Si;5;20260129;203500;76475;76511;76444;76511;950
Si;5;20260129;204000;76496;76516;76458;76476;732
Si;5;20260129;204500;76476;76500;76415;76415;1225
Si;5;20260129;205000;76416;76461;76412;76450;486
Si;5;20260129;205500;76453;76464;76393;76397;1199
Si;5;20260129;210000;76398;76415;76370;76415;779
Si;5;20260129;210500;76412;76415;76391;76415;603
Si;5;20260129;211000;76413;76476;76413;76472;720
Si;5;20260129;211500;76466;76481;76463;76465;492
Si;5;20260129;212000;76465;76486;76456;76460;534
Si;5;20260129;212500;76460;76466;76439;76466;554
Si;5;20260129;213000;76466;76466;76426;76446;669
Si;5;20260129;213500;76447;76447;76390;76390;618
Si;5;20260129;214000;76388;76396;76370;76370;601
Si;5;20260129;214500;76373;76413;76370;76410;699
Si;5;20260129;215000;76410;76416;76396;76405;117
Si;5;20260129;215500;76406;76420;76406;76411;60
Si;5;20260129;220000;76414;76438;76406;76438;611
Si;5;20260129;220500;76437;76440;76430;76430;461
Si;5;20260129;221000;76431;76449;76412;76439;1173
Si;5;20260129;221500;76436;76438;76413;76420;351
Si;5;20260129;222000;76425;76434;76421;76431;233
Si;5;20260129;222500;76430;76449;76428;76448;252
Si;5;20260129;223000;76449;76480;76444;76465;1180
Si;5;20260129;223500;76471;76474;76419;76425;496
Si;5;20260129;224000;76424;76450;76415;76449;295
Si;5;20260129;224500;76449;76452;76437;76452;121
Si;5;20260129;225000;76453;76458;76425;76437;292
Si;5;20260129;225500;76437;76447;76426;76426;212
Si;5;20260129;230000;76432;76438;76373;76383;1183
Si;5;20260129;230500;76380;76380;76353;76355;761
Si;5;20260129;231000;76357;76388;76350;76387;435
Si;5;20260129;231500;76386;76395;76383;76388;244
Si;5;20260129;232000;76388;76388;76355;76379;408
Si;5;20260129;232500;76377;76380;76334;76365;818
Si;5;20260129;233000;76366;76392;76366;76372;494
Si;5;20260129;233500;76374;76395;76360;76381;607
Si;5;20260129;234000;76382;76408;76338;76391;1188
Si;5;20260129;234500;76406;76460;76403;76460;690
Si;5;20260130;085500;76460;76460;76460;76460;19
Si;5;20260130;090000;76453;76507;76327;76373;4454
Si;5;20260130;090500;76373;76461;76362;76417;3936
Si;5;20260130;091000;76408;76449;76375;76397;1589
Si;5;20260130;091500;76396;76473;76305;76338;3700
Si;5;20260130;092000;76339;76421;76315;76397;2728
Si;5;20260130;092500;76399;76681;76372;76664;8061
Si;5;20260130;093000;76662;76832;76559;76757;18980
Si;5;20260130;093500;76763;76764;76526;76580;5688
Si;5;20260130;094000;76572;76671;76558;76647;4494
Si;5;20260130;094500;76645;76652;76563;76578;3746
Si;5;20260130;095000;76575;76600;76439;76474;6629
Si;5;20260130;095500;76479;76600;76413;76551;8174
Si;5;20260130;100000;76555;76740;76500;76515;27317
Si;5;20260130;100500;76515;76667;76503;76645;8619
Si;5;20260130;101000;76646;76758;76644;76749;19407
Si;5;20260130;101500;76749;76797;76597;76697;15545
Si;5;20260130;102000;76700;76971;76696;76902;22748
Si;5;20260130;102500;76903;76979;76902;76909;16788
Si;5;20260130;103000;76909;76924;76729;76839;18815
Si;5;20260130;103500;76840;76890;76788;76883;11014
Si;5;20260130;104000;76880;76914;76800;76809;8168
Si;5;20260130;104500;76814;76889;76732;76881;9930
Si;5;20260130;105000;76876;76908;76840;76900;6689
Si;5;20260130;105500;76900;76972;76862;76941;11083
Si;5;20260130;110000;76939;77059;76937;76994;15366
Si;5;20260130;110500;76995;77032;76963;77012;9874
Si;5;20260130;111000;77012;77039;77000;77024;8526
Si;5;20260130;111500;77023;77088;77022;77052;9137
Si;5;20260130;112000;77052;77083;76903;76962;13831
Si;5;20260130;112500;76966;77055;76878;76897;15480
Si;5;20260130;113000;76896;76909;76823;76885;14054
Si;5;20260130;113500;76885;76906;76832;76835;11820
Si;5;20260130;114000;76841;76856;76756;76809;20198
Si;5;20260130;114500;76810;76900;76806;76881;7982
Si;5;20260130;115000;76880;76900;76836;76853;10069
Si;5;20260130;115500;76854;76858;76786;76842;8444
Si;5;20260130;120000;76843;76880;76760;76765;21367
Si;5;20260130;120500;76765;76822;76711;76818;13012
Si;5;20260130;121000;76817;76827;76736;76737;14443
Si;5;20260130;121500;76738;76792;76682;76757;18911
Si;5;20260130;122000;76761;76761;76710;76734;6076
Si;5;20260130;122500;76733;76737;76706;76730;3861
Si;5;20260130;123000;76729;76814;76720;76767;12450
Si;5;20260130;123500;76767;76799;76706;76720;28558
Si;5;20260130;124000;76720;76820;76715;76812;17142
Si;5;20260130;124500;76811;76893;76811;76821;10530
Si;5;20260130;125000;76824;76831;76725;76810;12095
Si;5;20260130;125500;76813;76839;76722;76767;11819
Si;5;20260130;130000;76766;76847;76766;76827;10360
Si;5;20260130;130500;76838;76894;76807;76815;7205
Si;5;20260130;131000;76819;76909;76800;76885;26986
Si;5;20260130;131500;76884;76944;76862;76916;13126
Si;5;20260130;132000;76917;76935;76791;76821;11405
Si;5;20260130;132500;76821;76863;76800;76859;3988
Si;5;20260130;133000;76860;76921;76848;76910;5863
Si;5;20260130;133500;76913;77238;76908;77103;54969
Si;5;20260130;134000;77103;77150;77061;77061;32626
Si;5;20260130;134500;77064;77229;77047;77118;37903
Si;5;20260130;135000;77119;77193;77108;77171;9842
Si;5;20260130;135500;77168;77358;77145;77283;23297
Si;5;20260130;140500;77281;77362;77239;77357;23964
Si;5;20260130;141000;77357;77366;77252;77278;9289
Si;5;20260130;141500;77279;77394;77267;77359;11015
Si;5;20260130;142000;77361;77369;77295;77346;10256
Si;5;20260130;142500;77347;77370;77316;77339;8586
Si;5;20260130;143000;77339;77390;77318;77325;5485
Si;5;20260130;143500;77326;77424;77321;77371;9386
Si;5;20260130;144000;77371;77405;77342;77348;8576
Si;5;20260130;144500;77349;77463;77335;77460;15325
Si;5;20260130;145000;77459;77522;77340;77383;19676
Si;5;20260130;145500;77382;77510;77328;77507;9917
Si;5;20260130;150000;77509;77540;77445;77536;37490
Si;5;20260130;150500;77536;77560;77489;77543;14327
Si;5;20260130;151000;77542;77545;77370;77421;9655
Si;5;20260130;151500;77423;77450;77392;77432;4902
Si;5;20260130;152000;77436;77461;77422;77438;2362
Si;5;20260130;152500;77441;77465;77427;77427;1642
Si;5;20260130;153000;77430;77442;77395;77417;3436
Si;5;20260130;153500;77417;77429;77333;77358;8243
Si;5;20260130;154000;77358;77416;77302;77312;7274
Si;5;20260130;154500;77314;77350;77281;77289;5753
Si;5;20260130;155000;77291;77292;77240;77274;6827
Si;5;20260130;155500;77273;77289;77260;77285;3144
Si;5;20260130;160000;77285;77287;77223;77235;4722
Si;5;20260130;160500;77236;77277;77225;77263;2692
Si;5;20260130;161000;77263;77283;77260;77282;2043
Si;5;20260130;161500;77283;77316;77282;77301;2911
Si;5;20260130;162000;77301;77319;77286;77303;2448
